residence_panel,industry_bucket,industry_segment,employer,education,n
Lives in BS,high_tech,software_it_services,Amazon Web Services (AWS),unknown,8
Lives in BS,healthcare,healthcare_provider,Assuta Medical Centers,unknown,8
Lives in BS,unknown,unknown,BTG A Ferring Company,unknown,8
Lives in BS,unknown,unknown,Beer Sheva Municipality,unknown,8
Lives in BS,public_sector,academic,Ben-Gurion University of the Negev,materials_engineering,8
Lives in BS,high_tech,cyber_security,CyberArk,unknown,8
Lives in BS,high_tech,defense_aerospace,Elbit Systems Israel,unknown,8
Lives in BS,high_tech,defense_aerospace,Elbit Systems Ltd,unknown,8
Lives in BS,unknown,unknown,Israeli Military Intelligence - Unit 8200,unknown,8
Lives in BS,unknown,unknown,KAMADA,unknown,8
Lives in BS,healthcare,healthcare_provider,Ministry of Health Israel,unknown,8
Lives in BS,high_tech,other_high_tech,Moon Active,unknown,8
Lives in BS,unknown,unknown,Nitzanim,unknown,8
Lives in BS,unknown,unknown,Padagis LLC,unknown,8
Lives in BS,unknown,unknown,Perach - Tutorial Project,unknown,8
Lives in BS,unknown,unknown,SCE - Shamoon College of Engineering,unknown,8
Lives in BS,unknown,unknown,"SodaStream International, Ltd.",unknown,8
Lives in BS,high_tech,other_high_tech,Check Point Software Technologies Ltd,unknown,7
Lives in BS,high_tech,other_high_tech,Mobileye,unknown,7
Lives in BS,high_tech,other_high_tech,Siraj Technologies,unknown,7
Lives in BS,high_tech,other_high_tech,SolarEdge Technologies,unknown,7
Lives in BS,healthcare,pharma_biotech,Teva Pharmaceuticals,unknown,7
Lives in BS,unknown,unknown,Atidim,unknown,6
Lives in BS,public_sector,academic,Ben-Gurion University of the Negev,chemical_engineering,6
Lives in BS,public_sector,academic,Ben-Gurion University of the Negev,computer_science,6
Lives in BS,public_sector,academic,Ben-Gurion University of the Negev,psychology,6
Lives in BS,unknown,unknown,Cactus Capital,unknown,6
Lives in BS,unknown,unknown,DRS RADA Technologies,unknown,6
Lives in BS,high_tech,software_it_services,Dell Technologies,unknown,6
Lives in BS,high_tech,other_high_tech,HP,unknown,6
Lives in BS,unknown,unknown,Israeli Ministry of Defense,unknown,6
Lives in BS,unknown,unknown,KPMG Israel,unknown,6
Lives in BS,healthcare,healthcare_provider,Maccabi Health care Services,unknown,6
Lives in BS,unknown,unknown,Padagis Israel,unknown,6
Lives in BS,unknown,finance,Bank Leumi בנק לאומי,unknown,5
Lives in BS,public_sector,academic,Ben-Gurion University of the Negev,electrical_engineering,5
Lives in BS,unknown,unknown,EY,unknown,5
Lives in BS,unknown,unknown,Geo-Teva Environmental Consulting LTD,unknown,5
Lives in BS,high_tech,software_it_services,Google,unknown,5
Lives in BS,unknown,unknown,ICL Industrial Products,unknown,5
Lives in BS,high_tech,other_high_tech,MDClone,unknown,5
Lives in BS,high_tech,other_high_tech,Netafim,unknown,5
Lives in BS,unknown,unknown,Netafim,unknown,5
Lives in BS,unknown,unknown,OPKO Biologics Ltd.,unknown,5
Lives in BS,unknown,unknown,Office of the Prime Minister of Israel,unknown,5
Lives in BS,unknown,unknown,Precise Financial Management Services Ltd.,unknown,5
Lives in BS,unknown,unknown,Sapir Academic College,unknown,5
Lives in BS,healthcare,healthcare_provider,Soroka Medical Center,medicine,5
Lives in BS,high_tech,software_it_services,Taboola,unknown,5
Lives in BS,unknown,unknown,The Israeli Ministry of Education משרד החינוך,unknown,5
Lives in BS,high_tech,other_high_tech,Weirdoz,unknown,5
Lives in BS,unknown,unknown,Yazamut 360°,unknown,5
Lives in BS,unknown,unknown,BELECTRIC Israel,unknown,4
Lives in BS,public_sector,academic,Ben-Gurion University of the Negev,biotechnology,4
Lives in BS,public_sector,academic,Ben-Gurion University of the Negev,mechanical_engineering,4
Lives in BS,public_sector,academic,Ben-Gurion University of the Negev,medicine,4
Lives in BS,unknown,unknown,Dell EMC,unknown,4
Lives in BS,unknown,unknown,Deloitte,unknown,4
Lives in BS,unknown,unknown,Eretz-Ir NGO,unknown,4
Lives in BS,high_tech,other_high_tech,Fiverr,unknown,4
Lives in BS,unknown,unknown,Flex,unknown,4
Lives in BS,unknown,unknown,Hapoel Be'er Sheva B.C.,unknown,4
Lives in BS,unknown,unknown,Kidum,unknown,4
Lives in BS,unknown,unknown,LEADERS,unknown,4
Lives in BS,public_sector,academic,Medical School for International Health at Ben Gurion University - MSIH,unknown,4
Lives in BS,unknown,unknown,Morphisec,unknown,4
Lives in BS,unknown,unknown,PwC Israel,unknown,4
Lives in BS,high_tech,other_high_tech,RAVAL ACS LTD,unknown,4
Lives in BS,unknown,unknown,Sandisk,unknown,4
Lives in BS,unknown,unknown,The Jewish Agency for Israel,unknown,4
Lives in BS,unknown,unknown,Unilever,unknown,4
Lives in BS,unknown,unknown,Unit 9900 - Israeli Intelligence Corps,unknown,4
Lives in BS,high_tech,other_high_tech,Western Digital,unknown,4
Lives in BS,unknown,unknown,Western Digital,unknown,4
Lives in BS,high_tech,software_it_services,Wix.com,unknown,4
Lives in BS,unknown,unknown,AM Projects,unknown,3
Lives in BS,high_tech,software_it_services,Amazon,unknown,3
Lives in BS,high_tech,other_high_tech,BGRacing,unknown,3
Lives in BS,unknown,unknown,BGU International,unknown,3
Lives in BS,unknown,finance,Bank Hapoalim בנק הפועלים,unknown,3
Lives in BS,unknown,unknown,Be'er Sheva municipality,unknown,3
Lives in BS,public_sector,academic,Ben-Gurion University of the Negev,business_administration,3
Lives in BS,public_sector,academic,Ben-Gurion University of the Negev,electrical_and_computer_engineering,3
Lives in BS,public_sector,academic,Ben-Gurion University of the Negev,industrial_engineering,3
Lives in BS,high_tech,other_high_tech,Bet Shemesh Engines Ltd.,unknown,3
Lives in BS,unknown,unknown,Bet Shemesh Engines Ltd.,unknown,3
Lives in BS,unknown,unknown,Bio-Technology General (a Ferring Company),unknown,3
Lives in BS,unknown,unknown,Bizz.AI,unknown,3
Lives in BS,unknown,unknown,Central Bottling Company Israel ltd,unknown,3
Lives in BS,high_tech,other_high_tech,Check Point Software,unknown,3
Lives in BS,high_tech,software_it_services,Check Point Software,unknown,3
Lives in BS,unknown,unknown,Check Point Software,unknown,3
Lives in BS,unknown,unknown,Dalet,unknown,3
Lives in BS,unknown,unknown,Dead Sea and Arava Science Center,unknown,3
Lives in BS,unknown,unknown,EL AL Israel Airlines,unknown,3
Lives in BS,unknown,unknown,Foretellix,unknown,3
Lives in BS,unknown,unknown,IAI,unknown,3
Lives in BS,unknown,unknown,ICL Group,economics,3
Lives in BS,unknown,unknown,ICL Growing Solutions,unknown,3
Lives in BS,unknown,unknown,IKI-Ilse Katz Institute for Nanoscale Science and Technology,unknown,3
Lives in BS,high_tech,semiconductors_hardware,Intel,unknown,3
Lives in BS,public_sector,defense_aerospace,Israel Defense Forces,computer_science,3
Lives in BS,high_tech,other_high_tech,Israeli Military Intelligence,unknown,3
Lives in BS,unknown,unknown,"J6 & Cyber Defense Directorate, IDF",unknown,3
Lives in BS,unknown,unknown,KAN - Israeli Public Broadcasting Corporation,unknown,3
Lives in BS,high_tech,semiconductors_hardware,KLA,unknown,3
Lives in BS,unknown,unknown,Kaye Academic College of Education,unknown,3
Lives in BS,unknown,unknown,Lotem,unknown,3
Lives in BS,unknown,unknown,Lycored,unknown,3
Lives in BS,unknown,unknown,Matrix,unknown,3
Lives in BS,unknown,unknown,Migdal Capital Markets,unknown,3
Lives in BS,unknown,unknown,Motorola,unknown,3
Lives in BS,unknown,unknown,NIBN | The National Institute for Biotechnology in the Negev,unknown,3
Lives in BS,high_tech,semiconductors_hardware,NVIDIA,electrical_engineering,3
Lives in BS,unknown,unknown,Natural Intelligence,unknown,3
Lives in BS,high_tech,other_high_tech,NeuroBrave,unknown,3
Lives in BS,unknown,unknown,Nirlat,unknown,3
Lives in BS,high_tech,cyber_security,Palo Alto Networks,unknown,3
Lives in BS,unknown,unknown,Parallel Wireless,unknown,3
Lives in BS,unknown,unknown,Perrigo Company plc,unknown,3
Lives in BS,unknown,unknown,Phibro Animal Health,unknown,3
Lives in BS,unknown,unknown,Pulsenmore Ltd,unknown,3
Lives in BS,unknown,unknown,QDM,unknown,3
Lives in BS,unknown,unknown,QueenB,unknown,3
Lives in BS,unknown,unknown,RAD,unknown,3
Lives in BS,high_tech,software_it_services,Red Hat,unknown,3
Lives in BS,unknown,unknown,Sapir College,unknown,3
Lives in BS,self_employed,other,Self Employed,unknown,3
Lives in BS,unknown,unknown,Space Gurion,unknown,3
Lives in BS,unknown,unknown,Stratasys,unknown,3
Lives in BS,unknown,unknown,Struct,unknown,3
Lives in BS,unknown,unknown,Super-Pharm,unknown,3
Lives in BS,high_tech,other_high_tech,Tech7 Venture Studio,unknown,3
Lives in BS,healthcare,healthcare_provider,Tel Aviv Medical Center,unknown,3
Lives in BS,public_sector,academic,The Department of Computer Science at Ben-Gurion University of the Negev,unknown,3
Lives in BS,public_sector,academic,The Department of Psychology at Ben-Gurion University of the Negev,unknown,3
Lives in BS,unknown,unknown,The Technological College of Beer-Sheva,unknown,3
Lives in BS,unknown,unknown,Tiff - teamiff,unknown,3
Lives in BS,high_tech,other_high_tech,Unilever,unknown,3
Lives in BS,unknown,unknown,WSC Sports,unknown,3
Lives in BS,unknown,unknown,Wavelength Pharmaceuticals,unknown,3
Lives in BS,high_tech,other_high_tech,ZutaCore,unknown,3
Lives in BS,unknown,unknown,ZutaCore,unknown,3
Lives in BS,unknown,unknown,חברת כיוונים - החברה לתרבות הפנאי באר שבע,unknown,3
Lives in BS,high_tech,other_high_tech,ADAMA Ltd.,unknown,2
Lives in BS,unknown,unknown,AJEEC-NISPED,unknown,2
Lives in BS,unknown,unknown,"ANCAN - המרכז הלאומי ע""ש עזריאלי לחקר אוטיזם ונוירו-התפתחות",unknown,2
Lives in BS,unknown,unknown,ASTERRA,unknown,2
Lives in BS,high_tech,other_high_tech,Aeronautics Group,unknown,2
Lives in BS,unknown,unknown,Aharai !אחריי,unknown,2
Lives in BS,healthcare,healthcare_provider,Aidoc Medical,unknown,2
Lives in BS,unknown,unknown,Analiza Education Center,unknown,2
Lives in BS,high_tech,semiconductors_hardware,Applied Materials,materials_engineering,2
Lives in BS,high_tech,other_high_tech,"Aquestia - A.R.I., Dorot, OCV",unknown,2
Lives in BS,unknown,unknown,Argus Cyber Security Ltd.,unknown,2
Lives in BS,high_tech,other_high_tech,Ashot Ashkelon Industries Ltd,unknown,2
Lives in BS,high_tech,software_it_services,AudioCodes,unknown,2
Lives in BS,unknown,unknown,Avgol Nonwovens,unknown,2
Lives in BS,unknown,unknown,BDSK,unknown,2
Lives in BS,unknown,unknown,BGU Investment Club,unknown,2
Lives in BS,unknown,unknown,BIGVU,unknown,2
Lives in BS,unknown,finance,Bank Leumi בנק לאומי,economics,2
Lives in BS,unknown,unknown,Bank Yahav,unknown,2
Lives in BS,public_sector,academic,Bar-Ilan University,unknown,2
Lives in BS,unknown,unknown,Baran Group,unknown,2
Lives in BS,unknown,unknown,Be2See.,unknown,2
Lives in BS,public_sector,academic,Ben-Gurion University Student Union,unknown,2
Lives in BS,public_sector,academic,Ben-Gurion University of the Negev,biomedical_engineering,2
Lives in BS,public_sector,academic,Ben-Gurion University of the Negev,economics,2
Lives in BS,public_sector,academic,Ben-Gurion University of the Negev,geography,2
Lives in BS,public_sector,academic,Ben-Gurion University of the Negev,health_care_administration,2
Lives in BS,public_sector,academic,Ben-Gurion University of the Negev,non_stem,2
Lives in BS,public_sector,academic,Ben-Gurion University of the Negev,political_science,2
Lives in BS,public_sector,academic,Ben-Gurion University of the Negev,software_engineering,2
Lives in BS,unknown,unknown,Bezeq On Line,unknown,2
Lives in BS,unknown,unknown,Brevel,unknown,2
Lives in BS,unknown,unknown,Buildots,unknown,2
Lives in BS,unknown,unknown,CONTROP Precision Technologies Ltd.,unknown,2
Lives in BS,unknown,unknown,CaPow,unknown,2
Lives in BS,unknown,unknown,Cambium Applicable Innovation,unknown,2
Lives in BS,unknown,unknown,Campus Studies Ltd.,unknown,2
Lives in BS,high_tech,other_high_tech,Carrar,unknown,2
Lives in BS,unknown,software_it_services,Cisco,unknown,2
Lives in BS,unknown,unknown,DataDudes.ai,unknown,2
Lives in BS,high_tech,other_high_tech,Defense Industry,unknown,2
Lives in BS,high_tech,other_high_tech,Denya - דניה,unknown,2
Lives in BS,public_sector,academic,"Department of Life Sciences, Ben-Gurion University of the Negev",unknown,2
Lives in BS,public_sector,academic,"Department of Materials Engineering, Ben-Gurion University of the Negev",unknown,2
Lives in BS,unknown,unknown,Dolav Plastic Products,unknown,2
Lives in BS,unknown,unknown,Dorit Korine Group,unknown,2
Lives in BS,high_tech,other_high_tech,Dot Compliance,unknown,2
Lives in BS,high_tech,other_high_tech,Emalogic Software,unknown,2
Lives in BS,unknown,unknown,Enosh-The Israeli Mental Health Association,social_work,2
Lives in BS,high_tech,software_it_services,Fiverr,unknown,2
Lives in BS,unknown,unknown,Freelance (Self employed),unknown,2
Lives in BS,high_tech,other_high_tech,Haifa Group,unknown,2
Lives in BS,unknown,unknown,Haifa Group,unknown,2
Lives in BS,unknown,unknown,Hamikhlalah Ha'academit Lehandassah Sami Shamoon,unknown,2
Lives in BS,unknown,unknown,Harel Insurance & Finance,unknown,2
Lives in BS,healthcare,healthcare_provider,Hospital,unknown,2
Lives in BS,unknown,unknown,IBM,unknown,2
Lives in BS,high_tech,other_high_tech,ICL INDUSTRIAL PRODUCTS,unknown,2
Lives in BS,unknown,unknown,ICL Industrial Products,stem,2
Lives in BS,unknown,unknown,IQVIA,unknown,2
Lives in BS,unknown,unknown,ISEF - Israel Scholarship Education Foundation,unknown,2
Lives in BS,unknown,unknown,Israel,unknown,2
Lives in BS,public_sector,defense_aerospace,Israel Defense Forces,mechanical_engineering,2
Lives in BS,public_sector,defense_aerospace,Israel Defense Forces,psychology,2
Lives in BS,unknown,unknown,Israel National Cyber Directorate - מערך הסייבר הלאומי,unknown,2
Lives in BS,public_sector,defense_aerospace,Israeli Air Force,industrial_engineering,2
Lives in BS,unknown,unknown,Israeli Military Intelligence - Research Division,unknown,2
Lives in BS,high_tech,other_high_tech,Israeli Military Intelligence - Unit 8200,unknown,2
Lives in BS,unknown,unknown,Israeli Navy,unknown,2
Lives in BS,unknown,unknown,Johnson & Johnson,unknown,2
Lives in BS,high_tech,semiconductors_hardware,KLA,stem,2
Lives in BS,unknown,unknown,KPMG,unknown,2
Lives in BS,unknown,unknown,Knesset,unknown,2
Lives in BS,unknown,unknown,LUDAN Engineering Co. Ltd.,unknown,2
Lives in BS,unknown,unknown,Lightricks,unknown,2
Lives in BS,unknown,unknown,LotemSensing,unknown,2
Lives in BS,healthcare,healthcare_provider,Maccabi Health Services,unknown,2
Lives in BS,unknown,unknown,Magshimim,unknown,2
Lives in BS,unknown,unknown,Maor Projects,unknown,2
Lives in BS,unknown,unknown,Mapi Pharma,unknown,2
Lives in BS,high_tech,software_it_services,MeNow,unknown,2
Lives in BS,unknown,unknown,MeNow,unknown,2
Lives in BS,unknown,unknown,Medflow Labs,unknown,2
Lives in BS,unknown,unknown,Mellanox Technologies,unknown,2
Lives in BS,unknown,unknown,Meptagon Group,unknown,2
Lives in BS,unknown,unknown,Micron Technology,unknown,2
Lives in BS,high_tech,software_it_services,Microsoft,software_engineering,2
Lives in BS,unknown,unknown,Ministry of Education Israel,unknown,2
Lives in BS,unknown,unknown,Ministry of Foreign Affairs of Israel,unknown,2
Lives in BS,high_tech,software_it_services,Mobileye,unknown,2
Lives in BS,unknown,unknown,Motorola Solutions,unknown,2
Lives in BS,unknown,unknown,Neot Hovav,unknown,2
Lives in BS,unknown,unknown,Nextage,unknown,2
Lives in BS,unknown,unknown,Nirlat Group,unknown,2
Lives in BS,unknown,unknown,ODDITY,unknown,2
Lives in BS,unknown,unknown,ONE Technologies,unknown,2
Lives in BS,unknown,unknown,OR Movement תנועת אור,unknown,2
Lives in BS,unknown,unknown,Omrix Biosurgery Israel,unknown,2
Lives in BS,unknown,unknown,OrCam,unknown,2
Lives in BS,unknown,unknown,Oracle,unknown,2
Lives in BS,unknown,unknown,Ore to Excellence (אור לחינוך),unknown,2
Lives in BS,unknown,unknown,Oron Group Investments and Holdings Ltd,unknown,2
Lives in BS,unknown,unknown,OutSense,unknown,2
Lives in BS,high_tech,other_high_tech,Padagis Israel,unknown,2
Lives in BS,high_tech,other_high_tech,Payoneer,unknown,2
Lives in BS,unknown,unknown,Personetics,unknown,2
Lives in BS,high_tech,other_high_tech,Playtika,unknown,2
Lives in BS,unknown,unknown,Polybid פוליביד,unknown,2
Lives in BS,unknown,unknown,Private company,unknown,2
Lives in BS,high_tech,software_it_services,Proofpoint,unknown,2
Lives in BS,high_tech,software_it_services,RAD,unknown,2
Lives in BS,unknown,unknown,RAVAL ACS LTD,unknown,2
Lives in BS,unknown,unknown,Radware,unknown,2
Lives in BS,high_tech,other_high_tech,Raval a.c.s,unknown,2
Lives in BS,unknown,unknown,Raval a.c.s,unknown,2
Lives in BS,unknown,unknown,Ribbon Communications,unknown,2
Lives in BS,unknown,unknown,RoboTiCan Ltd.,unknown,2
Lives in BS,high_tech,other_high_tech,Robotican,unknown,2
Lives in BS,unknown,unknown,Rotem Amfert Negev Ltd.,unknown,2
Lives in BS,unknown,unknown,Rotem Industries,unknown,2
Lives in BS,unknown,unknown,Rotem Industries - Medical Imaging,unknown,2
Lives in BS,unknown,unknown,SAP,unknown,2
Lives in BS,unknown,unknown,SCE,unknown,2
Lives in BS,high_tech,other_high_tech,SCE - Shamoon College of Engineering,unknown,2
Lives in BS,unknown,unknown,SEQENS,unknown,2
Lives in BS,unknown,unknown,SQLink Group,unknown,2
Lives in BS,high_tech,other_high_tech,Sami Shamoon College of Engineering,unknown,2
Lives in BS,high_tech,other_high_tech,Samsung Israel R&D Center - SIRC,unknown,2
Lives in BS,unknown,unknown,Samsung Israel R&D Center - SIRC,unknown,2
Lives in BS,high_tech,other_high_tech,Sandisk,unknown,2
Lives in BS,unknown,unknown,Schulich Leader Scholarships,unknown,2
Lives in BS,self_employed,other,Self employed,unknown,2
Lives in BS,self_employed,other,Self-Employed,unknown,2
Lives in BS,self_employed,other,Self-employed,economics,2
Lives in BS,healthcare,healthcare_provider,"Sheba Medical Center, Tel Hashomer",unknown,2
Lives in BS,unknown,unknown,Shikun & Binui שיכון ובינוי,unknown,2
Lives in BS,unknown,unknown,Sigmabit,unknown,2
Lives in BS,unknown,unknown,Signature-IT,unknown,2
Lives in BS,unknown,unknown,Smart School,unknown,2
Lives in BS,unknown,unknown,StandWithUs,unknown,2
Lives in BS,unknown,unknown,Stealth Startup,unknown,2
Lives in BS,unknown,unknown,SuperPlay,unknown,2
Lives in BS,unknown,unknown,TSG IT Advanced Systems Ltd.,unknown,2
Lives in BS,public_sector,academic,Technion - Israel Institute of Technology,unknown,2
Lives in BS,public_sector,academic,Tel Aviv University,unknown,2
Lives in BS,unknown,unknown,Teva Active Pharmaceutical Ingredients,unknown,2
Lives in BS,unknown,unknown,Texas Instruments,unknown,2
Lives in BS,unknown,unknown,The Arava Institute for Environmental Studies,unknown,2
Lives in BS,public_sector,academic,The Brains and Machines Lab at Ben-Gurion University,unknown,2
Lives in BS,public_sector,academic,The Hebrew University of Jerusalem,unknown,2
Lives in BS,unknown,unknown,The Luzzatto Group,unknown,2
Lives in BS,unknown,unknown,The Magnum Ice Cream Company,unknown,2
Lives in BS,unknown,unknown,Tidhar group | קבוצת תדהר,unknown,2
Lives in BS,unknown,unknown,Tikshoov,unknown,2
Lives in BS,unknown,unknown,VAST Data,unknown,2
Lives in BS,high_tech,software_it_services,Varonis,unknown,2
Lives in BS,unknown,unknown,Varonis,unknown,2
Lives in BS,unknown,unknown,Vayyar Imaging,unknown,2
Lives in BS,unknown,unknown,Vital Op,unknown,2
Lives in BS,unknown,unknown,Voyager Labs,unknown,2
Lives in BS,unknown,unknown,Xsight Labs LTD,unknown,2
Lives in BS,unknown,unknown,YAHAM - Hevel Ma'on Enterprises,unknown,2
Lives in BS,unknown,unknown,Yachdav Association,unknown,2
Lives in BS,unknown,unknown,aaa,unknown,2
Lives in BS,unknown,unknown,abra,unknown,2
Lives in BS,unknown,unknown,dbMotion,unknown,2
Lives in BS,high_tech,other_high_tech,dead sea works,unknown,2
Lives in BS,unknown,unknown,אוניברסיטת בן גוריון,unknown,2
Lives in BS,unknown,unknown,"אסר""ן",unknown,2
Lives in BS,unknown,unknown,מי שבע - תאגיד אזורי למים וביוב,unknown,2
Lives in BS,unknown,unknown,מערך הדיגיטל הלאומי - Israel National Digital Agency,unknown,2
Lives in BS,unknown,unknown,מרכז הזדמנות באר שבע,unknown,2
Lives in BS,unknown,unknown,רשות המסים בישראל Israel Tax Authority,unknown,2
Lives in BS,unknown,unknown,"""Ahavat hachay"" veterinary clinic",unknown,1
Lives in BS,unknown,unknown,"""Eshel- Hanasi"" High school",unknown,1
Lives in BS,unknown,unknown,"""Focus"" - Automotive Marketing Company",economics,1
Lives in BS,unknown,unknown,"""Hasifria"" Restaurant",unknown,1
Lives in BS,unknown,unknown,"""План Б""",economics,1
Lives in BS,unknown,unknown,"""עמותת פעמים כי טוב לקהילה ולסביבה""",social_work,1
Lives in BS,unknown,unknown,'Another World',unknown,1
Lives in BS,unknown,unknown,...,biology,1
Lives in BS,unknown,unknown,...,unknown,1
Lives in BS,unknown,unknown,....,unknown,1
Lives in BS,unknown,unknown,1C-Profil,unknown,1
Lives in BS,high_tech,software_it_services,2bPrecise,unknown,1
Lives in BS,unknown,unknown,2bPrecise,unknown,1
Lives in BS,unknown,unknown,365Scores,unknown,1
Lives in BS,high_tech,software_it_services,50K,unknown,1
Lives in BS,unknown,unknown,888holdings,unknown,1
Lives in BS,unknown,unknown,A.B Briuot Lakol Ltd,unknown,1
Lives in BS,unknown,unknown,A.D. Achlama,unknown,1
Lives in BS,unknown,unknown,A.L. GROUP,unknown,1
Lives in BS,unknown,unknown,A.S. Barzel,unknown,1
Lives in BS,high_tech,other_high_tech,A.T Communication Channels LTd,unknown,1
Lives in BS,unknown,unknown,A.Z. - Advanced Building Technologies,unknown,1
Lives in BS,unknown,unknown,ACTA Israel,biology,1
Lives in BS,unknown,unknown,AI360 BGU,unknown,1
Lives in BS,unknown,unknown,AID Genomics,stem,1
Lives in BS,unknown,unknown,ALUT - The Israeli Society for Autistic Children,economics,1
Lives in BS,high_tech,other_high_tech,AM Projects,unknown,1
Lives in BS,unknown,unknown,AMAREL LTD,unknown,1
Lives in BS,unknown,unknown,AMERICAN QUALITY PRODUCTS,unknown,1
Lives in BS,unknown,unknown,AMHSI - Alexander Muss High School in Israel,unknown,1
Lives in BS,unknown,unknown,AMIT,unknown,1
Lives in BS,unknown,unknown,AMPP: Association for Materials Protection and Performance,unknown,1
Lives in BS,healthcare,healthcare_provider,"ANCAN - המרכז הלאומי ע""ש עזריאלי לחקר אוטיזם ונוירו-התפתחו",health_care_administration,1
Lives in BS,unknown,unknown,AQUASMART INTELLIGENT WATER SOLUTION,unknown,1
Lives in BS,unknown,unknown,"ARO, Volcani Center",unknown,1
Lives in BS,unknown,unknown,ASESORES Y CONSULTORES ROSGER S.C.,stem,1
Lives in BS,unknown,unknown,ASML,unknown,1
Lives in BS,high_tech,software_it_services,ASTERRA,unknown,1
Lives in BS,unknown,unknown,AT&T Israel R&D Center,unknown,1
Lives in BS,unknown,unknown,AUY movement - האיחוד החקלאי,unknown,1
Lives in BS,unknown,unknown,Abu Cado,unknown,1
Lives in BS,unknown,unknown,Academania,unknown,1
Lives in BS,unknown,unknown,Academania Psychometry,unknown,1
Lives in BS,unknown,unknown,Achva Academic Campus,unknown,1
Lives in BS,unknown,unknown,Achva Academic College,unknown,1
Lives in BS,unknown,unknown,Achva Academic College - המכללה האקדמית אחוה,unknown,1
Lives in BS,unknown,unknown,Achva Academic College and National Institute for Biotechnology in the Negev,biology,1
Lives in BS,unknown,unknown,Ackerstein,unknown,1
Lives in BS,unknown,unknown,Ackerstein Industrials,unknown,1
Lives in BS,unknown,unknown,Adam Milo Global,unknown,1
Lives in BS,unknown,unknown,Adama machteshim,unknown,1
Lives in BS,unknown,unknown,Adanim Youth Village,unknown,1
Lives in BS,unknown,unknown,Adanim youth village,social_work,1
Lives in BS,unknown,unknown,Adanim youth village,unknown,1
Lives in BS,unknown,unknown,Addionics,unknown,1
Lives in BS,unknown,unknown,Adecco Tafkid-Plus Israel,unknown,1
Lives in BS,unknown,unknown,Adi negev,unknown,1
Lives in BS,unknown,unknown,Adva Cohen Zamir,unknown,1
Lives in BS,unknown,unknown,Advantest,unknown,1
Lives in BS,unknown,unknown,Aeronautics Group,unknown,1
Lives in BS,unknown,academic,Aerospace Company,unknown,1
Lives in BS,unknown,unknown,Afcon,unknown,1
Lives in BS,unknown,unknown,Afcon Control and Automation.Ltd,economics,1
Lives in BS,unknown,unknown,Agat-Handasa,unknown,1
Lives in BS,unknown,unknown,Agora,unknown,1
Lives in BS,unknown,unknown,Agricultural Research Organization - Volcani Institute,unknown,1
Lives in BS,unknown,unknown,Aharai TECH | אחרייטק,unknown,1
Lives in BS,unknown,unknown,"Ahuva Shnarch, CPA",economics,1
Lives in BS,high_tech,other_high_tech,Akamai Technologies,unknown,1
Lives in BS,high_tech,software_it_services,Al-Baqour,unknown,1
Lives in BS,unknown,unknown,Albatronics,unknown,1
Lives in BS,high_tech,other_high_tech,Allscripts dbMotion – Population Health Management Solutions,unknown,1
Lives in BS,high_tech,software_it_services,Allscripts dbMotion – Population Health Management Solutions,unknown,1
Lives in BS,unknown,unknown,Alpha Tau Medical,unknown,1
